2022-08-25 21:03|29|68|47494|29798|61567
2022-08-25 21:03|73|71|31504|97018|48705
2022-08-25 21:03|6|52|78037|55357|42549
2022-08-25 21:03|82|85|84828|68006|9514
2022-08-25 21:03|12|84|91030|87268|4923
2022-08-25 21:04|14|29|70100|34498|8229
2022-08-25 21:04|30|65|82271|95070|28476
2022-08-25 21:04|31|48|56901|79037|75877
2022-08-25 21:04|60|85|57981|21843|81326
2022-08-25 21:04|2|48|56602|19229|35902
2022-08-25 21:04|92|86|98368|20797|23135
2022-08-25 21:05|53|36|21964|41076|36615
2022-08-25 21:05|83|33|8864|18547|79467
2022-08-25 21:05|47|97|49513|21138|40312
2022-08-25 21:05|1|69|98761|97764|19406
2022-08-25 21:05|58|33|83267|36019|35073
2022-08-25 21:05|69|48|95845|40485|3036
2022-08-25 21:06|72|12|50568|64991|44952
2022-08-25 21:06|56|16|97084|15529|74023
2022-08-25 21:06|88|22|79572|36986|65661
2022-08-25 21:06|7|91|12505|24760|60900
2022-08-25 21:06|46|83|56887|51123|46616
2022-08-25 21:06|33|13|87973|5153|58572
2022-08-25 21:07|49|42|49818|15722|74874
2022-08-25 21:07|9|60|27804|28813|71847
2022-08-25 21:07|94|76|38764|97079|1523
2022-08-25 21:07|58|7|37967|30152|83579
2022-08-25 21:07|95|81|3811|51168|12459
2022-08-25 21:07|51|7|37645|21881|57165
2022-08-25 21:08|92|60|24535|36291|65438
2022-08-25 21:08|45|61|31277|97652|56970
2022-08-25 21:08|15|13|67678|3286|3356
2022-08-25 21:08|35|21|29866|43075|1618
2022-08-25 21:08|9|44|29854|67672|89275
2022-08-25 21:08|19|97|38171|8792|10347
2022-08-25 21:09|14|68|19764|45062|69496
2022-08-25 21:09|63|56|5196|27327|64373
2022-08-25 21:09|57|83|97134|30023|52616
2022-08-25 21:09|72|10|74149|80606|82588
2022-08-25 21:09|37|48|50692|33602|87625
2022-08-25 21:09|82|29|18684|93639|42419
2022-08-25 21:10|25|44|37348|88453|44217
2022-08-25 21:10|72|86|47655|48752|31574
2022-08-25 21:10|57|25|50562|41674|10797
2022-08-25 21:10|87|94|37307|46635|89644
2022-08-25 21:10|77|88|19993|30644|43793
2022-08-25 21:10|14|38|28488|96139|26298
2022-08-25 21:11|67|93|3148|95729|20422
2022-08-25 21:11|21|4|11160|55099|23422
2022-08-25 21:11|12|89|14203|20197|9345
2022-08-25 21:11|84|39|48882|97424|34000
2022-08-25 21:15|93|26|77620|94511|45556
2022-08-25 21:16|36|13|78635|8611|49857
2022-08-25 21:16|59|31|30481|38143|44383
2022-08-25 21:16|45|87|14882|65345|21783
2022-08-25 21:16|98|18|62688|99683|70644
2022-08-25 21:16|8|47|37627|95351|34964
2022-08-25 21:17|12|73|90099|21690|25937
2022-08-25 21:17|70|18|46067|35606|20479
2022-08-25 21:17|4|47|16972|68620|3175
2022-08-25 21:17|35|80|20365|28317|8510
2022-08-25 21:17|28|25|96104|47089|12765
2022-08-25 21:17|49|27|90366|53930|87865
2022-08-25 21:18|29|95|61842|27380|79035
2022-08-25 21:18|67|52|87319|40162|32127
2022-08-25 21:18|75|79|83388|76815|85281
2022-08-25 21:18|97|7|5878|48459|17013
2022-08-25 21:18|46|10|4773|69128|95834
2022-08-25 21:18|56|38|33221|32095|68909
2022-08-25 21:19|27|10|55532|1907|97621
2022-08-25 21:19|17|87|63381|4628|90020
2022-08-25 21:19|82|73|21149|29050|89825
2022-08-25 21:19|40|58|36434|18203|87320
2022-08-25 21:19|10|86|87614|91317|23259
2022-08-25 21:19|92|49|20652|22433|81899
2022-08-25 21:20|28|78|63780|39044|90950
2022-08-25 21:20|44|8|4328|13434|74418
2022-08-25 21:20|56|42|4125|17104|15778
2022-08-25 21:20|63|59|90388|48644|80533
2022-08-25 21:20|50|22|2434|94562|45850
2022-08-25 21:20|77|54|56436|34958|33829
2022-08-25 21:21|1|66|47829|35465|68422
2022-08-25 21:21|71|7|83683|22420|97077
2022-08-25 21:21|98|49|87767|53650|42995
2022-08-25 21:21|46|38|7569|14439|27855
2022-08-25 21:21|86|34|57550|35642|2919
2022-08-25 21:21|76|61|75272|54796|2857
2022-08-25 21:22|95|70|58950|60528|55148
2022-08-25 21:22|30|57|93958|83365|32588
2022-08-25 21:22|14|10|69000|58664|94990
2022-08-25 21:22|39|78|56095|80827|70086
2022-08-25 21:22|72|17|14146|67980|64558
2022-08-25 21:22|79|54|7471|54323|36241
2022-08-25 21:23|81|84|80044|44280|57096
